MAp,Ms2,Mx1,st,gX,epsilon,yf,Mx2,Densidad reliquia,loglikelihood,delta,alphad,alphaf,mass_relative
259.952426416,232.037026742,51.9904852833,0.0005,2.50662827463,0.000279811600221,0.0501325654926,57.1895338116,0.119,0.00046693842483,5.19904852833,0.5,0.0002,0.1
450.219329888,202.958783966,90.0438659776,0.0005,2.50662827463,0.00051408863811,0.0501325654926,99.0482525753,0.117,0.00421172825929,9.00438659776,0.5,0.0002,0.1
174.372973294,626.757986039,34.8745946587,0.0005,2.50662827463,0.000182232839089,0.0501325654926,38.3620541246,0.118,0.00186982292777,3.48745946587,0.5,0.0002,0.1
310.632209211,114.857875287,62.1264418422,0.0005,2.50662827463,0.000333830858856,0.0501325654926,68.3390860264,0.123,0.00418353638979,6.21264418422,0.5,0.0002,0.1
177.181581969,89.6713620515,35.4363163937,0.0005,2.50662827463,0.000186505191804,0.0501325654926,38.9799480331,0.117,0.00421172825929,3.54363163937,0.5,0.0002,0.1
264.957352049,2647.1525475,52.9914704099,0.0005,2.50662827463,0.000286445067435,0.0501325654926,58.2906174509,0.119,0.00046693842483,5.29914704099,0.5,0.0002,0.1
421.679202881,2091.3064975,84.3358405763,0.0005,2.50662827463,0.000471748693658,0.0501325654926,92.7694246339,0.12,0.0,8.43358405763,0.5,0.0002,0.1
150.820910092,2803.20877302,30.1641820185,0.0005,2.50662827463,0.000152336671634,0.0501325654926,33.1806002203,0.122,0.00186146944398,3.01641820185,0.5,0.0002,0.1
116.588055959,107.376609847,23.3176111919,0.0005,2.50662827463,0.000115930550066,0.0501325654926,25.6493723111,0.121,0.00046589421406,2.33176111919,0.5,0.0002,0.1
272.609173079,8591.28980181,54.5218346157,0.0005,2.50662827463,0.000296280389893,0.0501325654926,59.9740180773,0.118,0.00186982292777,5.45218346157,0.5,0.0002,0.1
204.549181979,319.315179476,40.9098363958,0.0005,2.50662827463,0.000213799662488,0.0501325654926,45.0008200354,0.121,0.00046589421406,4.09098363958,0.5,0.0002,0.1
134.993933062,1131.05065981,26.9987866124,0.0005,2.50662827463,0.000138833270271,0.0501325654926,29.6986652736,0.117,0.00421172825929,2.69987866124,0.5,0.0002,0.1
