,MAp,mphi,Mchi1,angle,gX,epsilon,ff,Mchi2,Densidad_reliquia,loglikelihood,canales_aniquilacion
835,2.04180566937,1.75206770583,0.68060188979,0.0005,2.50662827463,0.000347391242313,0.0083554275821,0.687,0.123,0.004183536389794037,"[{'channel': '~chi1 ~chi2 ->u u~', 'contribution_percentage': 33}, {'channel': '~chi1 ~chi2 ->e- e+', 'contribution_percentage': 25}, {'channel': '~chi1 ~chi2 ->mu- mu+', 'contribution_percentage': 25}, {'channel': '~chi1 ~chi2 ->d d~', 'contribution_percentage': 8}, {'channel': '~chi1 ~chi2 ->s s~', 'contribution_percentage': 8}]"
836,0.0131208464611,0.246996963562,0.00437361548702,0.0005,2.50662827463,2.73723434111e-06,0.0083554275821,0.004,0.119,0.00046693842482991855,"[{'channel': '~chi1 ~chi2 ->u u~', 'contribution_percentage': 56}, {'channel': '~chi1 ~chi2 ->e- e+', 'contribution_percentage': 44}]"
837,1.83418111271,0.0293363460282,0.611393704236,0.0005,2.50662827463,0.000318708615238,0.0083554275821,0.618,0.119,0.00046693842482991855,"[{'channel': '~chi1 ~chi2 ->u u~', 'contribution_percentage': 33}, {'channel': '~chi1 ~chi2 ->e- e+', 'contribution_percentage': 25}, {'channel': '~chi1 ~chi2 ->mu- mu+', 'contribution_percentage': 25}, {'channel': '~chi1 ~chi2 ->d d~', 'contribution_percentage': 8}, {'channel': '~chi1 ~chi2 ->s s~', 'contribution_percentage': 8}]"
838,0.015011941732,0.523346660298,0.00500398057735,0.0005,2.50662827463,3.01690654335e-06,0.0083554275821,0.005,0.12,0.0,"[{'channel': '~chi1 ~chi2 ->u u~', 'contribution_percentage': 54}, {'channel': '~chi1 ~chi2 ->e- e+', 'contribution_percentage': 42}, {'channel': '~chi1 ~chi2 ->d d~', 'contribution_percentage': 4}]"
839,0.00671954369731,0.246664606921,0.0022398478991,0.0005,2.50662827463,2.23958461021e-06,0.0083554275821,0.002,0.12,0.0,"[{'channel': '~chi1 ~chi2 ->e- e+', 'contribution_percentage': 99}]"
840,0.121135933371,0.00139850946376,0.0403786444571,0.0005,2.50662827463,1.74854924125e-05,0.0083554275821,0.041,0.12,0.0,"[{'channel': '~chi1 ~chi1 ->phi phi', 'contribution_percentage': 35}, {'channel': '~chi1 ~chi2 ->u u~', 'contribution_percentage': 27}, {'channel': '~chi1 ~chi2 ->e- e+', 'contribution_percentage': 20}, {'channel': '~chi2 ~chi2 ->phi phi', 'contribution_percentage': 12}, {'channel': '~chi1 ~chi2 ->d d~', 'contribution_percentage': 7}]"
841,1.2998269399,0.0867847933013,0.433275646635,0.0005,2.50662827463,0.000224259257961,0.0083554275821,0.438,0.117,0.004211728259292678,"[{'channel': '~chi1 ~chi2 ->u u~', 'contribution_percentage': 32}, {'channel': '~chi1 ~chi2 ->e- e+', 'contribution_percentage': 24}, {'channel': '~chi1 ~chi2 ->mu- mu+', 'contribution_percentage': 24}, {'channel': '~chi1 ~chi2 ->d d~', 'contribution_percentage': 8}, {'channel': '~chi1 ~chi2 ->s s~', 'contribution_percentage': 8}, {'channel': '~chi1 ~chi1 ->phi phi', 'contribution_percentage': 4}]"
842,0.086062323929,0.00106634075685,0.0286874413097,0.0005,2.50662827463,3.99282047176e-06,0.0083554275821,0.029,0.117,0.004211728259292678,"[{'channel': '~chi1 ~chi1 ->phi phi', 'contribution_percentage': 72}, {'channel': '~chi2 ~chi2 ->phi phi', 'contribution_percentage': 23}, {'channel': '~chi1 ~chi2 ->u u~', 'contribution_percentage': 3}, {'channel': '~chi1 ~chi2 ->e- e+', 'contribution_percentage': 2}]"
843,0.00389575478588,7.47200439417,0.00129858492863,0.0005,2.50662827463,1.38281440357e-06,0.0083554275821,0.001,0.121,0.0004658942140597564,"[{'channel': '~chi1 ~chi2 ->e- e+', 'contribution_percentage': 100}]"
844,0.0893201144729,0.00158846484645,0.029773371491,0.0005,2.50662827463,1.69199952344e-06,0.0083554275821,0.03,0.118,0.0018698229277687437,"[{'channel': '~chi1 ~chi1 ->phi phi', 'contribution_percentage': 83}, {'channel': '~chi2 ~chi2 ->phi phi', 'contribution_percentage': 16}]"
